d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,6.0,5.89,x,0.0,2024-08-09 14:51:57.360757
11.0,10000.0,0.01,6.0,5.89,z,0.0,2024-08-09 14:51:57.364999
11.0,10000.0,0.01,6.0,5.89,corr_z,0.0,2024-08-09 14:51:57.366633
11.0,10000.0,0.01,6.0,5.89,total,0.0,2024-08-09 14:51:57.368128
11.0,10000.0,0.022564102564102566,6.0,5.89,x,0.0,2024-08-09 14:52:02.483537
11.0,10000.0,0.022564102564102566,6.0,5.89,z,0.0,2024-08-09 14:52:02.485624
11.0,10000.0,0.022564102564102566,6.0,5.89,corr_z,0.0,2024-08-09 14:52:02.487144
11.0,10000.0,0.022564102564102566,6.0,5.89,total,0.0,2024-08-09 14:52:02.488617
11.0,10000.0,0.03512820512820513,6.0,5.89,x,0.0,2024-08-09 14:52:08.427326
11.0,10000.0,0.03512820512820513,6.0,5.89,z,0.0,2024-08-09 14:52:08.429477
11.0,10000.0,0.03512820512820513,6.0,5.89,corr_z,0.0,2024-08-09 14:52:08.430896
11.0,10000.0,0.03512820512820513,6.0,5.89,total,0.0,2024-08-09 14:52:08.432194
11.0,10000.0,0.047692307692307694,6.0,5.89,x,0.0,2024-08-09 14:52:13.935691
11.0,10000.0,0.047692307692307694,6.0,5.89,z,0.0,2024-08-09 14:52:13.938046
11.0,10000.0,0.047692307692307694,6.0,5.89,corr_z,0.0004,2024-08-09 14:52:13.939721
11.0,10000.0,0.047692307692307694,6.0,5.89,total,0.0,2024-08-09 14:52:13.941290
11.0,10000.0,0.06025641025641026,6.0,5.89,x,0.0,2024-08-09 14:52:19.715201
11.0,10000.0,0.06025641025641026,6.0,5.89,z,0.0014,2024-08-09 14:52:19.717342
11.0,10000.0,0.06025641025641026,6.0,5.89,corr_z,0.0018,2024-08-09 14:52:19.718951
11.0,10000.0,0.06025641025641026,6.0,5.89,total,0.0014,2024-08-09 14:52:19.720570
11.0,10000.0,0.07282051282051281,6.0,5.89,x,0.0,2024-08-09 14:52:25.673504
