d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
11.0,10000.0,0.01,5.0,4.26,x,0.0,2024-08-10 11:58:02.172456
11.0,10000.0,0.01,5.0,4.26,z,0.0,2024-08-10 11:58:02.182386
11.0,10000.0,0.01,5.0,4.26,corr_z,0.0,2024-08-10 11:58:02.185247
11.0,10000.0,0.01,5.0,4.26,total,0.0,2024-08-10 11:58:02.187399
11.0,10000.0,0.022564102564102566,5.0,4.26,x,0.0,2024-08-10 11:58:11.452089
11.0,10000.0,0.022564102564102566,5.0,4.26,z,0.0,2024-08-10 11:58:11.454907
11.0,10000.0,0.022564102564102566,5.0,4.26,corr_z,0.0,2024-08-10 11:58:11.457146
11.0,10000.0,0.022564102564102566,5.0,4.26,total,0.0,2024-08-10 11:58:11.459343
11.0,10000.0,0.03512820512820513,5.0,4.26,x,0.0,2024-08-10 11:58:20.724511
11.0,10000.0,0.03512820512820513,5.0,4.26,z,0.0,2024-08-10 11:58:20.727205
11.0,10000.0,0.03512820512820513,5.0,4.26,corr_z,0.0001,2024-08-10 11:58:20.729298
11.0,10000.0,0.03512820512820513,5.0,4.26,total,0.0,2024-08-10 11:58:20.731361
11.0,10000.0,0.047692307692307694,5.0,4.26,x,0.0,2024-08-10 11:58:30.062149
11.0,10000.0,0.047692307692307694,5.0,4.26,z,0.0001,2024-08-10 11:58:30.064810
11.0,10000.0,0.047692307692307694,5.0,4.26,corr_z,0.0004,2024-08-10 11:58:30.066898
11.0,10000.0,0.047692307692307694,5.0,4.26,total,0.0001,2024-08-10 11:58:30.068991
11.0,10000.0,0.06025641025641026,5.0,4.26,x,0.0001,2024-08-10 11:58:39.522025
11.0,10000.0,0.06025641025641026,5.0,4.26,z,0.001,2024-08-10 11:58:39.524721
11.0,10000.0,0.06025641025641026,5.0,4.26,corr_z,0.0023,2024-08-10 11:58:39.526834
11.0,10000.0,0.06025641025641026,5.0,4.26,total,0.0011,2024-08-10 11:58:39.528900
11.0,10000.0,0.07282051282051281,5.0,4.26,x,0.0003,2024-08-10 11:58:48.969152
11.0,10000.0,0.07282051282051281,5.0,4.26,z,0.0036,2024-08-10 11:58:48.971944
11.0,10000.0,0.07282051282051281,5.0,4.26,corr_z,0.0055,2024-08-10 11:58:48.974147
11.0,10000.0,0.07282051282051281,5.0,4.26,total,0.0039,2024-08-10 11:58:48.976310
11.0,10000.0,0.08538461538461538,5.0,4.26,x,0.0001,2024-08-10 11:58:58.481797
11.0,10000.0,0.08538461538461538,5.0,4.26,z,0.0078,2024-08-10 11:58:58.484524
11.0,10000.0,0.08538461538461538,5.0,4.26,corr_z,0.01,2024-08-10 11:58:58.486625
11.0,10000.0,0.08538461538461538,5.0,4.26,total,0.0079,2024-08-10 11:58:58.488679
11.0,10000.0,0.09794871794871794,5.0,4.26,x,0.0008,2024-08-10 11:59:08.134196
11.0,10000.0,0.09794871794871794,5.0,4.26,z,0.0111,2024-08-10 11:59:08.136998
11.0,10000.0,0.09794871794871794,5.0,4.26,corr_z,0.0172,2024-08-10 11:59:08.139121
11.0,10000.0,0.09794871794871794,5.0,4.26,total,0.0119,2024-08-10 11:59:08.141186
11.0,10000.0,0.1105128205128205,5.0,4.26,x,0.0012,2024-08-10 11:59:17.762721
11.0,10000.0,0.1105128205128205,5.0,4.26,z,0.0246,2024-08-10 11:59:17.765478
11.0,10000.0,0.1105128205128205,5.0,4.26,corr_z,0.0339,2024-08-10 11:59:17.767745
11.0,10000.0,0.1105128205128205,5.0,4.26,total,0.0258,2024-08-10 11:59:17.769920
11.0,10000.0,0.12307692307692307,5.0,4.26,x,0.0025,2024-08-10 11:59:27.453295
11.0,10000.0,0.12307692307692307,5.0,4.26,z,0.0405,2024-08-10 11:59:27.456313
11.0,10000.0,0.12307692307692307,5.0,4.26,corr_z,0.0538,2024-08-10 11:59:27.458721
11.0,10000.0,0.12307692307692307,5.0,4.26,total,0.043,2024-08-10 11:59:27.461079
11.0,10000.0,0.13564102564102565,5.0,4.26,x,0.0026,2024-08-10 11:59:37.229078
11.0,10000.0,0.13564102564102565,5.0,4.26,z,0.0646,2024-08-10 11:59:37.231815
11.0,10000.0,0.13564102564102565,5.0,4.26,corr_z,0.0817,2024-08-10 11:59:37.233929
11.0,10000.0,0.13564102564102565,5.0,4.26,total,0.0672,2024-08-10 11:59:37.235976
11.0,10000.0,0.1482051282051282,5.0,4.26,x,0.0045,2024-08-10 11:59:47.047622
11.0,10000.0,0.1482051282051282,5.0,4.26,z,0.093,2024-08-10 11:59:47.050414
11.0,10000.0,0.1482051282051282,5.0,4.26,corr_z,0.1111,2024-08-10 11:59:47.052658
11.0,10000.0,0.1482051282051282,5.0,4.26,total,0.0975,2024-08-10 11:59:47.054834
11.0,10000.0,0.16076923076923078,5.0,4.26,x,0.0088,2024-08-10 11:59:56.926131
11.0,10000.0,0.16076923076923078,5.0,4.26,z,0.1249,2024-08-10 11:59:56.928759
11.0,10000.0,0.16076923076923078,5.0,4.26,corr_z,0.1423,2024-08-10 11:59:56.930884
11.0,10000.0,0.16076923076923078,5.0,4.26,total,0.1337,2024-08-10 11:59:56.932952
11.0,10000.0,0.17333333333333334,5.0,4.26,x,0.0095,2024-08-10 12:00:06.432357
11.0,10000.0,0.17333333333333334,5.0,4.26,z,0.1618,2024-08-10 12:00:06.434166
11.0,10000.0,0.17333333333333334,5.0,4.26,corr_z,0.1887,2024-08-10 12:00:06.435506
11.0,10000.0,0.17333333333333334,5.0,4.26,total,0.1713,2024-08-10 12:00:06.436765
11.0,10000.0,0.1858974358974359,5.0,4.26,x,0.0111,2024-08-10 12:00:15.796078
11.0,10000.0,0.1858974358974359,5.0,4.26,z,0.2038,2024-08-10 12:00:15.799738
11.0,10000.0,0.1858974358974359,5.0,4.26,corr_z,0.2308,2024-08-10 12:00:15.802774
11.0,10000.0,0.1858974358974359,5.0,4.26,total,0.2149,2024-08-10 12:00:15.805651
11.0,10000.0,0.19846153846153847,5.0,4.26,x,0.0184,2024-08-10 12:00:23.312048
11.0,10000.0,0.19846153846153847,5.0,4.26,z,0.2482,2024-08-10 12:00:23.313846
11.0,10000.0,0.19846153846153847,5.0,4.26,corr_z,0.273,2024-08-10 12:00:23.315175
11.0,10000.0,0.19846153846153847,5.0,4.26,total,0.2666,2024-08-10 12:00:23.316441
11.0,10000.0,0.21102564102564103,5.0,4.26,x,0.0224,2024-08-10 12:00:28.893655
11.0,10000.0,0.21102564102564103,5.0,4.26,z,0.2794,2024-08-10 12:00:28.895566
11.0,10000.0,0.21102564102564103,5.0,4.26,corr_z,0.3052,2024-08-10 12:00:28.896928
