d,num_shots,p,l,eta,error_type,num_log_errors,time_stamp
7.0,100000.0,0.001,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.706912
7.0,100000.0,0.0014736842105263,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.710137
7.0,100000.0,0.0019473684210526,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.712079
7.0,100000.0,0.0024210526315789,2.0,0.5,X_Mem,1e-10,2025-06-06 17:34:28.713976
7.0,100000.0,0.0028947368421052,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.715779
7.0,100000.0,0.0033684210526315,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.717629
7.0,100000.0,0.0038421052631578,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.719444
7.0,100000.0,0.0043157894736842,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.721254
7.0,100000.0,0.0047894736842105,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.723043
7.0,100000.0,0.0052631578947368,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.724804
7.0,100000.0,0.0057368421052631,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.726595
7.0,100000.0,0.0062105263157894,2.0,0.5,X_Mem,1e-10,2025-06-06 17:34:28.728394
7.0,100000.0,0.0066842105263157,2.0,0.5,X_Mem,1e-10,2025-06-06 17:34:28.730190
7.0,100000.0,0.0071578947368421,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.731964
7.0,100000.0,0.0076315789473684,2.0,0.5,X_Mem,1e-10,2025-06-06 17:34:28.733719
7.0,100000.0,0.0081052631578947,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.735525
7.0,100000.0,0.008578947368421,2.0,0.5,X_Mem,2e-10,2025-06-06 17:34:28.737336
7.0,100000.0,0.0090526315789473,2.0,0.5,X_Mem,1e-10,2025-06-06 17:34:28.739136
7.0,100000.0,0.0095263157894736,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.741011
7.0,100000.0,0.01,2.0,0.5,X_Mem,0.0,2025-06-06 17:34:28.742781
7.0,100000.0,0.001,2.0,0.5,Z_Mem,2.7385e-06,2025-06-06 17:34:28.744598
7.0,100000.0,0.0014736842105263,2.0,0.5,Z_Mem,4.0582e-06,2025-06-06 17:34:28.746413
7.0,100000.0,0.0019473684210526,2.0,0.5,Z_Mem,4.6506e-06,2025-06-06 17:34:28.748194
7.0,100000.0,0.0024210526315789,2.0,0.5,Z_Mem,4.9122e-06,2025-06-06 17:34:28.749971
7.0,100000.0,0.0028947368421052,2.0,0.5,Z_Mem,4.9437e-06,2025-06-06 17:34:28.751787
7.0,100000.0,0.0033684210526315,2.0,0.5,Z_Mem,5e-06,2025-06-06 17:34:28.753577
7.0,100000.0,0.0038421052631578,2.0,0.5,Z_Mem,5.0070000000000005e-06,2025-06-06 17:34:28.755391
7.0,100000.0,0.0043157894736842,2.0,0.5,Z_Mem,4.9511e-06,2025-06-06 17:34:28.757172
7.0,100000.0,0.0047894736842105,2.0,0.5,Z_Mem,5.0091e-06,2025-06-06 17:34:28.758965
7.0,100000.0,0.0052631578947368,2.0,0.5,Z_Mem,4.9915e-06,2025-06-06 17:34:28.760790
7.0,100000.0,0.0057368421052631,2.0,0.5,Z_Mem,5.000299999999999e-06,2025-06-06 17:34:28.762620
7.0,100000.0,0.0062105263157894,2.0,0.5,Z_Mem,5.005699999999999e-06,2025-06-06 17:34:28.764465
7.0,100000.0,0.0066842105263157,2.0,0.5,Z_Mem,4.9954e-06,2025-06-06 17:34:28.766267
7.0,100000.0,0.0071578947368421,2.0,0.5,Z_Mem,5.0134e-06,2025-06-06 17:34:28.768161
7.0,100000.0,0.0076315789473684,2.0,0.5,Z_Mem,4.9839e-06,2025-06-06 17:34:28.769983
7.0,100000.0,0.0081052631578947,2.0,0.5,Z_Mem,5.0051e-06,2025-06-06 17:34:28.771778
7.0,100000.0,0.008578947368421,2.0,0.5,Z_Mem,5.000299999999999e-06,2025-06-06 17:34:28.773581
7.0,100000.0,0.0090526315789473,2.0,0.5,Z_Mem,4.9641000000000005e-06,2025-06-06 17:34:28.775378
7.0,100000.0,0.0095263157894736,2.0,0.5,Z_Mem,4.9907e-06,2025-06-06 17:34:28.777183
7.0,100000.0,0.01,2.0,0.5,Z_Mem,4.9661e-06,2025-06-06 17:34:28.778960
9.0,100000.0,0.001,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.464341
9.0,100000.0,0.0014736842105263,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.466857
9.0,100000.0,0.0019473684210526,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.468689
9.0,100000.0,0.0024210526315789,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.470468
9.0,100000.0,0.0028947368421052,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.472237
9.0,100000.0,0.0033684210526315,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.474030
9.0,100000.0,0.0038421052631578,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.475844
9.0,100000.0,0.0043157894736842,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.477596
9.0,100000.0,0.0047894736842105,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.479365
9.0,100000.0,0.0052631578947368,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.481123
9.0,100000.0,0.0057368421052631,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.482910
9.0,100000.0,0.0062105263157894,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.484711
9.0,100000.0,0.0066842105263157,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.486482
9.0,100000.0,0.0071578947368421,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.488261
9.0,100000.0,0.0076315789473684,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.490023
9.0,100000.0,0.0081052631578947,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.491795
9.0,100000.0,0.008578947368421,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.493561
9.0,100000.0,0.0090526315789473,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.495331
9.0,100000.0,0.0095263157894736,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.497115
9.0,100000.0,0.01,2.0,0.5,X_Mem,0.0,2025-06-06 17:54:28.498844
9.0,100000.0,0.001,2.0,0.5,Z_Mem,4.6556e-06,2025-06-06 17:54:28.500677
9.0,100000.0,0.0014736842105263,2.0,0.5,Z_Mem,4.9766e-06,2025-06-06 17:54:28.502447
9.0,100000.0,0.0019473684210526,2.0,0.5,Z_Mem,5.0091e-06,2025-06-06 17:54:28.504241
9.0,100000.0,0.0024210526315789,2.0,0.5,Z_Mem,4.9878e-06,2025-06-06 17:54:28.506007
9.0,100000.0,0.0028947368421052,2.0,0.5,Z_Mem,4.985800000000001e-06,2025-06-06 17:54:28.507734
9.0,100000.0,0.0033684210526315,2.0,0.5,Z_Mem,5.0218e-06,2025-06-06 17:54:28.509502
9.0,100000.0,0.0038421052631578,2.0,0.5,Z_Mem,4.9946e-06,2025-06-06 17:54:28.511249
9.0,100000.0,0.0043157894736842,2.0,0.5,Z_Mem,4.9832e-06,2025-06-06 17:54:28.513030
9.0,100000.0,0.0047894736842105,2.0,0.5,Z_Mem,5.0128e-06,2025-06-06 17:54:28.514822
9.0,100000.0,0.0052631578947368,2.0,0.5,Z_Mem,5.0207e-06,2025-06-06 17:54:28.516580
9.0,100000.0,0.0057368421052631,2.0,0.5,Z_Mem,4.9963e-06,2025-06-06 17:54:28.518347
9.0,100000.0,0.0062105263157894,2.0,0.5,Z_Mem,4.9873e-06,2025-06-06 17:54:28.520095
9.0,100000.0,0.0066842105263157,2.0,0.5,Z_Mem,4.9996e-06,2025-06-06 17:54:28.521852
9.0,100000.0,0.0071578947368421,2.0,0.5,Z_Mem,4.9973e-06,2025-06-06 17:54:28.523611
